trial,latent_dim,conv_filters,dense_units,lr,num_layers,best_val_acc,best_val_recon_loss,best_val_loss,epochs_run
19,8,"(16, 32, 64)",64,0.01,2,0.9944232106208801,0.0003684049006551504,0.025761283934116364,16
20,8,"(16, 32, 64)",64,0.01,3,0.9933270812034607,0.00042310147546231747,0.02945498563349247,14
21,8,"(16, 32, 64)",64,0.01,4,0.9909424781799316,0.0004913252196274698,0.0362766794860363,16
22,8,"(16, 32, 64)",64,0.001,2,0.9949135780334473,0.00032772767008282244,0.022126469761133194,20
23,8,"(16, 32, 64)",64,0.001,3,0.9950674176216125,0.0003328881284687668,0.022005554288625717,21
24,8,"(16, 32, 64)",64,0.001,4,0.9945385456085205,0.00033079658169299364,0.0232522152364254,19
25,8,"(16, 32, 64)",64,0.0001,2,0.9942789673805237,0.00033039605477824807,0.023854916915297508,72
26,8,"(16, 32, 64)",64,0.0001,3,0.9945482015609741,0.0003158939944114536,0.02244516648352146,86
27,8,"(16, 32, 64)",64,0.0001,4,0.9943462610244751,0.00034288197639398277,0.024156277999281883,52
28,8,"(16, 32, 64)",128,0.01,2,0.9947212338447571,0.0003658405621536076,0.024300971999764442,30
29,8,"(16, 32, 64)",128,0.01,3,0.9926347732543945,0.0004908076953142881,0.032601166516542435,8
30,8,"(16, 32, 64)",128,0.01,4,0.9921828508377075,0.000545426388271153,0.03731626644730568,13
31,8,"(16, 32, 64)",128,0.001,2,0.9949520230293274,0.00032678351271897554,0.02210068143904209,21
32,8,"(16, 32, 64)",128,0.001,3,0.9948943257331848,0.00031919527100399137,0.021519320085644722,30
33,8,"(16, 32, 64)",128,0.001,4,0.9950481653213501,0.00032173123327083886,0.02142520062625408,33
34,8,"(16, 32, 64)",128,0.0001,2,0.994307816028595,0.0003269026638008654,0.023584289476275444,69
35,8,"(16, 32, 64)",128,0.0001,3,0.9945001006126404,0.00032690560328774154,0.02371453493833542,56
36,8,"(16, 32, 64)",128,0.0001,4,0.9942597150802612,0.0003423204179853201,0.02429870143532753,48
37,8,"(32, 64, 128)",16,0.01,2,0.9919713139533997,0.0004358389996923506,0.03167178854346275,8
38,8,"(32, 64, 128)",16,0.01,3,0.9923366904258728,0.00048217002768069506,0.03314390033483505,28
39,8,"(32, 64, 128)",16,0.01,4,0.9833176136016846,0.0012177596800029278,0.0793030858039856,6
40,8,"(32, 64, 128)",16,0.001,2,0.9954327940940857,0.0003067791694775224,0.020090341567993164,43
41,8,"(32, 64, 128)",16,0.001,3,0.9952404499053955,0.00031434919219464064,0.0213926974684,31
42,8,"(32, 64, 128)",16,0.001,4,0.9948943257331848,0.00032891190494410694,0.02189745008945465,24
43,8,"(32, 64, 128)",16,0.0001,2,0.9943558573722839,0.0003222371742594987,0.023572873324155807,56
44,8,"(32, 64, 128)",16,0.0001,3,0.9945193529129028,0.00031667022267356515,0.023258505389094353,51
45,8,"(32, 64, 128)",16,0.0001,4,0.9947789311408997,0.0002981369325425476,0.021923523396253586,49
46,8,"(32, 64, 128)",32,0.01,2,0.9932308793067932,0.00037996144965291023,0.027606170624494553,16
47,8,"(32, 64, 128)",32,0.01,3,0.9935578107833862,0.0004687150358222425,0.02973145619034767,20
48,8,"(32, 64, 128)",32,0.01,4,0.9931635856628418,0.0004448109830264002,0.029440807178616524,18
49,8,"(32, 64, 128)",32,0.001,2,0.9953655004501343,0.00032243001624010503,0.02075515128672123,27
50,8,"(32, 64, 128)",32,0.001,3,0.9950481653213501,0.00032294169068336487,0.021569740027189255,24
51,8,"(32, 64, 128)",32,0.001,4,0.9947885870933533,0.00031916119041852653,0.022658830508589745,27
52,8,"(32, 64, 128)",32,0.0001,2,0.9949808716773987,0.00032609584741294384,0.022117454558610916,77
53,8,"(32, 64, 128)",32,0.0001,3,0.9945770502090454,0.0003229925059713423,0.023111119866371155,47
54,8,"(32, 64, 128)",32,0.0001,4,0.9950289130210876,0.00029734871350228786,0.02066093496978283,76
55,8,"(32, 64, 128)",64,0.01,2,0.9942020177841187,0.00039340637158602476,0.026429813355207443,15
56,8,"(32, 64, 128)",64,0.01,3,0.9937212467193604,0.00039216913864947855,0.027103660628199577,14
57,8,"(32, 64, 128)",64,0.01,4,0.5119805335998535,0.003315843641757965,0.7924726009368896,8
58,8,"(32, 64, 128)",64,0.001,2,0.9949327707290649,0.00032730569364503026,0.02184385433793068,14
59,8,"(32, 64, 128)",64,0.001,3,0.995134711265564,0.0003137527673970908,0.020975656807422638,26
60,8,"(32, 64, 128)",64,0.001,4,0.9950962662696838,0.0003233244351577014,0.02169186621904373,26
61,8,"(32, 64, 128)",64,0.0001,2,0.994432806968689,0.00032009478309191763,0.023867782205343246,51
62,8,"(32, 64, 128)",64,0.0001,3,0.9949424266815186,0.0002987555635627359,0.021446868777275085,76
63,8,"(32, 64, 128)",64,0.0001,4,0.994807779788971,0.00031235854839906096,0.02231224998831749,41
64,8,"(32, 64, 128)",128,0.01,2,0.9942501187324524,0.0004062415100634098,0.02631695568561554,15
65,8,"(32, 64, 128)",128,0.01,3,0.9928751587867737,0.00044168377644382417,0.03099973313510418,22
66,8,"(32, 64, 128)",128,0.01,4,0.9903463125228882,0.0006001109140925109,0.042925313115119934,10
67,8,"(32, 64, 128)",128,0.001,2,0.9937693476676941,0.00034607970155775547,0.027695653960108757,7
68,8,"(32, 64, 128)",128,0.001,3,0.9942981600761414,0.00035237788688391447,0.024150189012289047,13
69,8,"(32, 64, 128)",128,0.001,4,0.9945096969604492,0.0003275316266808659,0.023255309090018272,16
70,8,"(32, 64, 128)",128,0.0001,2,0.9945193529129028,0.0003340827242936939,0.02355012483894825,48
71,8,"(32, 64, 128)",128,0.0001,3,0.9948750734329224,0.00032052668393589556,0.021968141198158264,57
72,8,"(32, 64, 128)",128,0.0001,4,0.994307816028595,0.00032798544270917773,0.024572258815169334,25
73,8,"(64, 128, 256)",16,0.01,2,0.9946058988571167,0.0003674876061268151,0.024472670629620552,23
74,8,"(64, 128, 256)",16,0.01,3,0.9931251406669617,0.00042154453694820404,0.029750406742095947,18
75,8,"(64, 128, 256)",16,0.01,4,0.9881829023361206,0.0005858043441548944,0.049048252403736115,7
76,8,"(64, 128, 256)",16,0.001,2,0.9954423904418945,0.00031712354393675923,0.020186038687825203,34
77,8,"(64, 128, 256)",16,0.001,3,0.9949712753295898,0.00031630127341486514,0.02220243588089943,23
78,8,"(64, 128, 256)",16,0.001,4,0.9946443438529968,0.00032346195075660944,0.023132849484682083,18
79,8,"(64, 128, 256)",16,0.0001,2,0.9940770268440247,0.0003262562386225909,0.024615908041596413,27
80,8,"(64, 128, 256)",16,0.0001,3,0.9947693347930908,0.0003021681332029402,0.02155171148478985,47
81,8,"(64, 128, 256)",16,0.0001,4,0.994807779788971,0.000290992233203724,0.020957566797733307,49
82,8,"(64, 128, 256)",32,0.01,2,0.9946635365486145,0.0003804630832746625,0.025033993646502495,19
83,8,"(64, 128, 256)",32,0.01,3,0.9929328560829163,0.0004269197233952582,0.029326574876904488,14
84,8,"(64, 128, 256)",32,0.01,4,0.9926636219024658,0.0006169247790239751,0.03716336190700531,12
85,8,"(64, 128, 256)",32,0.001,2,0.9956539273262024,0.0003090008394792676,0.019319484010338783,37
86,8,"(64, 128, 256)",32,0.001,3,0.995336651802063,0.0003162250795867294,0.02096378803253174,25
87,8,"(64, 128, 256)",32,0.001,4,0.9950770139694214,0.00031516668968833983,0.021460020914673805,26
88,8,"(64, 128, 256)",32,0.0001,2,0.9951251149177551,0.00031218526419252157,0.021137889474630356,67
89,8,"(64, 128, 256)",32,0.0001,3,0.9944232106208801,0.0003269961744081229,0.024176593869924545,26
90,8,"(64, 128, 256)",32,0.0001,4,0.9950770139694214,0.0002895476936828345,0.020747855305671692,47
91,8,"(64, 128, 256)",64,0.01,2,0.9939712882041931,0.0003916187852155417,0.026049965992569923,11
92,8,"(64, 128, 256)",64,0.01,3,0.9930674433708191,0.0004757546412292868,0.03106660209596157,10
93,8,"(64, 128, 256)",64,0.01,4,0.9923462867736816,0.0005433884798549116,0.034455765038728714,18
94,8,"(64, 128, 256)",64,0.001,2,0.9951635599136353,0.0003135105944238603,0.02095549739897251,21
95,8,"(64, 128, 256)",64,0.001,3,0.994682788848877,0.00036175447166897357,0.02363302931189537,12
96,8,"(64, 128, 256)",64,0.001,4,0.9949616193771362,0.00032858923077583313,0.022700274363160133,22
97,8,"(64, 128, 256)",64,0.0001,2,0.9950001239776611,0.00031089375261217356,0.021382508799433708,61
98,8,"(64, 128, 256)",64,0.0001,3,0.994557797908783,0.0003116556035820395,0.02288678288459778,30
99,8,"(64, 128, 256)",64,0.0001,4,0.9952789545059204,0.0003130410041194409,0.02070555090904236,53
100,8,"(64, 128, 256)",128,0.01,2,0.994057834148407,0.00038777163717895746,0.025961436331272125,20
101,8,"(64, 128, 256)",128,0.01,3,0.9936636090278625,0.00039601270691491663,0.02730710059404373,33
102,8,"(64, 128, 256)",128,0.01,4,0.9922885894775391,0.0005551439826376736,0.03457167372107506,12
103,8,"(64, 128, 256)",128,0.001,2,0.9951058626174927,0.00031739615951664746,0.021000314503908157,22
104,8,"(64, 128, 256)",128,0.001,3,0.9954231381416321,0.0003144351067021489,0.020395902916789055,31
105,8,"(64, 128, 256)",128,0.001,4,0.9950385689735413,0.0003184582747053355,0.021805038675665855,22
106,8,"(64, 128, 256)",128,0.0001,2,0.9952212572097778,0.00030552418320439756,0.020386535674333572,64
107,8,"(64, 128, 256)",128,0.0001,3,0.9947116374969482,0.0002965498133562505,0.02142968215048313,44
108,8,"(64, 128, 256)",128,0.0001,4,0.9950674176216125,0.0003097383596468717,0.021430639550089836,36
