model_type,latent_dim,activation,output_activation,dropout,l2_reg,batch_norm,noise_std,optimizer,learning_rate,batch_size,loss,n_layers,start_width,width_strategy,n_conv_layers,kernel_size,n_filters_start,filter_strategy,widths,n_params,best_epoch,train_loss,val_loss,best_val_loss,overfit_gap,is_overfit,val_clf_accuracy,val_photon_err_pct,val_neutron_err_pct,composite_score,train_time_s,filters,spatial
cnn,8,swish,sigmoid,0.2,0.001,True,0.1,adamw,0.0001,512,mae,,,,3.0,3.0,64.0,constant,,65289,25,0.029529279097914696,0.029512152075767517,0.029512152075767517,-0.0005800013637443703,False,0.9879425395665468,1.2353462713033199,1.1775311285142824,0.020784806254610377,37.5,"[64, 64, 64]",13.0
cnn,8,swish,sigmoid,0.1,0.001,True,0.0,adamw,0.001,1024,mse,,,,2.0,5.0,16.0,double,,19753,24,0.0020887914579361677,0.0020870419684797525,0.0020870419684797525,-0.0008375606141858513,False,0.9880867675621623,1.2747512560338883,1.1117997258061487,0.0070001372031587294,18.1,"[16, 32]",26.0
dense,8,leaky_relu,linear,0.1,1e-05,False,0.02,adamw,0.0003,256,huber,2.0,32.0,geometric,,,,,"[32, 16]",8144,24,0.0012376169906929135,0.0012375094229355454,0.0012375094229355454,-8.691522351180961e-05,False,0.9825099517316974,2.2342626342232292,1.286457453002047,0.009363778845619064,29.2,,
cnn,8,swish,linear,0.2,1e-05,True,0.0,adamw,0.003,1024,mse,,,,3.0,7.0,16.0,constant,,11337,23,0.0020070408936589956,0.0020051358733326197,0.0020051358733326197,-0.0009491686653693226,False,0.9865483356089306,1.5742291399862083,1.1268240464251507,0.0077284001322009965,23.3,"[16, 16, 16]",13.0
dense,8,swish,linear,0.0,0.0,True,0.05,adam,0.0001,1024,huber,5.0,256.0,linear,,,,,"[256, 196, 136, 76, 16]",237184,25,0.001172769465483725,0.0011731761042028666,0.0011731761042028666,0.00034673371972023464,False,0.980009999807696,2.3465668407053495,1.667699588709223,0.01058158814825344,27.9,,
dense,8,elu,linear,0.3,1e-05,False,0.1,adam,0.001,1024,mae,5.0,64.0,geometric,,,,,"[64, 32, 16, 16, 16]",20112,19,0.035857006907463074,0.03586876019835472,0.03586876019835472,0.00032778226364457306,False,0.9836733908963289,2.163333661708206,1.1268240464251507,0.02609768465101292,18.2,,
dense,8,swish,sigmoid,0.2,0.0001,True,0.1,adamw,0.001,1024,huber,1.0,128.0,geometric,,,,,[128],30064,22,0.0010445882799103856,0.00104367861058563,0.00104367861058563,-0.0008708400642152604,False,0.9859521932270533,1.5466456506748103,1.2695550923056698,0.007545742691766166,14.0,,
cnn,8,swish,linear,0.2,1e-05,True,0.0,nadam,0.0003,512,mse,,,,3.0,3.0,64.0,double,,305929,23,0.0019225297728553414,0.001920933835208416,0.001920933835208416,-0.0008301237616492995,False,0.9879713851656698,1.2471677667224905,1.1606287678179052,0.006974774334769285,44.8,"[64, 128, 256]",13.0
cnn,8,leaky_relu,sigmoid,0.0,0.001,True,0.0,adamw,0.001,256,mae,,,,3.0,5.0,16.0,double,,40713,24,0.02687561884522438,0.026868660002946854,0.026868660002946854,-0.00025892770386432966,False,0.988317532355147,1.1407743079499555,1.1944334892106598,0.019275563823899944,50.4,"[16, 32, 64]",13.0
dense,8,relu,linear,0.0,0.0,True,0.02,nadam,0.003,256,mae,2.0,64.0,funnel,,,,,"[128, 128]",64112,23,0.028078759089112282,0.02808743715286255,0.02808743715286255,0.0003090615123953965,False,0.985932962827638,1.656979607920402,1.1681409281274062,0.021077237162612283,33.9,,
cnn,8,swish,linear,0.1,0.001,True,0.1,adam,0.0003,512,mse,,,,2.0,5.0,64.0,constant,,70857,25,0.0021829709876328707,0.0021806282456964254,0.0021806282456964254,-0.0010731896803565012,False,0.9848849060594989,1.6530391094473451,1.376603376716059,0.008647861093098785,30.8,"[64, 64]",26.0
cnn,8,swish,linear,0.1,1e-05,False,0.05,adam,0.003,512,huber,,,,2.0,7.0,64.0,double,,172425,25,0.0010027565294876695,0.001001909258775413,0.001001909258775413,-0.0008449416058046723,False,0.9888367531393627,1.1900305388631662,1.0460683230980148,0.006082578059706356,33.3,"[64, 128]",26.0
cnn,8,elu,linear,0.3,1e-05,True,0.0,adam,0.003,512,mae,,,,3.0,3.0,32.0,constant,,20361,14,0.02803489938378334,0.028021547943353653,0.028021547943353653,-0.0004762435650976718,False,0.987682929174439,1.2294355235937346,1.23387233083554,0.020169309384457323,27.3,"[32, 32, 32]",13.0
dense,8,relu,linear,0.1,0.0,True,0.0,nadam,0.001,256,mae,1.0,128.0,linear,,,,,[128],30064,24,0.029652372002601624,0.029643282294273376,0.029643282294273376,-0.00030654236792421066,False,0.9842022268802523,1.9249335040882671,1.2507746915319173,0.02272052770701055,29.2,,
dense,8,swish,sigmoid,0.0,0.0,True,0.02,adam,0.003,256,mse,2.0,128.0,geometric,,,,,"[128, 64]",46064,24,0.0017795523162931204,0.0017818314954638481,0.0017818314954638481,0.0012807598573304957,False,0.9860868060229611,1.5840803861688502,1.2075797697522865,0.007847512736251394,33.1,,
