model_type,latent_dim,activation,output_activation,dropout,l2_reg,batch_norm,noise_std,optimizer,learning_rate,batch_size,loss,n_layers,start_width,width_strategy,n_conv_layers,kernel_size,n_filters_start,filter_strategy,widths,n_params,best_epoch,train_loss,val_loss,best_val_loss,overfit_gap,is_overfit,val_clf_accuracy,val_photon_err_pct,val_neutron_err_pct,composite_score,train_time_s,filters,spatial
dense,8,leaky_relu,sigmoid,0.2,0.0,False,0.05,adamw,0.0003,512,huber,3.0,32.0,funnel,,,,,"[16, 16, 16]",4816,25,0.0012489465298131108,0.0012487118365243077,0.0012487118365243077,-0.00018791299963675747,False,0.9810195957770043,2.4411388040587134,1.3803594568708097,0.010114558029760023,19.3,,
cnn,8,elu,linear,0.0,0.0,False,0.05,adamw,0.0003,1024,mse,,,,2.0,7.0,64.0,constant,,86729,25,0.00195913203060627,0.0019578044302761555,0.0019578044302761555,-0.0006776471975212041,False,0.9869906347954847,1.4028174564082356,1.203823689597536,0.00748358481739575,20.0,"[64, 64]",26.0
cnn,8,relu,sigmoid,0.3,0.0001,False,0.0,adamw,0.0003,1024,mse,,,,2.0,7.0,32.0,constant,,29033,25,0.0023690552916377783,0.0023662967141717672,0.0023662967141717672,-0.001164420887831615,False,0.9878656179688852,1.3062752438183431,1.1249460063477756,0.0072503393726433,18.3,"[32, 32]",26.0
dense,8,relu,sigmoid,0.0,0.0001,False,0.1,adam,0.0001,512,mse,1.0,128.0,geometric,,,,,[128],29040,25,0.0025238306261599064,0.002523894887417555,0.002523894887417555,2.546179485358084e-05,False,0.9850675948539451,1.704265589597084,1.292091573234173,0.008728150016736214,17.3,,
dense,8,leaky_relu,linear,0.1,1e-05,False,0.02,adamw,0.0001,256,huber,3.0,256.0,funnel,,,,,"[8, 8, 8]",2208,25,0.0017128210747614503,0.0017161369323730469,0.0017161369323730469,0.0019359042578679117,False,0.9827984077229284,1.2471677667224905,2.17101432944579,0.009458864604722339,31.8,,
dense,8,elu,sigmoid,0.3,0.0,True,0.02,adam,0.003,512,mse,2.0,64.0,geometric,,,,,"[64, 32]",18992,21,0.002191853243857622,0.0021903777960687876,0.0021903777960687876,-0.0006731508110633404,False,0.9857406588334839,1.826421042261846,1.0441902830206395,0.008224859481292424,21.3,,
dense,8,leaky_relu,linear,0.0,0.0001,True,0.1,nadam,0.001,256,mae,3.0,64.0,funnel,,,,,"[32, 32, 8]",10176,25,0.029674412682652473,0.02966180630028248,0.02966180630028248,-0.0004248233151170251,False,0.9849810580565759,1.3772042163333662,1.620748586774842,0.0223403741218533,38.5,,
cnn,8,relu,linear,0.2,0.0001,True,0.0,adamw,0.0003,512,mae,,,,3.0,3.0,64.0,double,,305929,24,0.04749872162938118,0.0474848747253418,0.0474848747253418,-0.0002915216149905324,False,0.48801946116420836,0.0,100.0,0.2797327067805667,45.3,"[64, 128, 256]",13.0
cnn,8,relu,linear,0.2,0.0,True,0.05,nadam,0.003,512,mse,,,,3.0,7.0,16.0,double,,51017,16,0.002393389353528619,0.0023919306695461273,0.0023919306695461273,-0.0006094637215382145,False,0.9796350070190958,2.4371983055856568,1.6545533081675963,0.011378461825225172,31.8,"[16, 32, 64]",13.0
cnn,8,elu,linear,0.3,0.0,True,0.05,adam,0.003,1024,huber,,,,3.0,5.0,32.0,constant,,28681,25,0.0010075559839606285,0.001006747130304575,0.001006747130304575,-0.0008027878042806107,False,0.988413684352224,1.1939710373362231,1.1249460063477756,0.006296531389040294,25.7,"[32, 32, 32]",13.0
dense,8,elu,sigmoid,0.2,0.0001,False,0.02,nadam,0.001,256,mae,2.0,32.0,geometric,,,,,"[32, 16]",8144,25,0.030586572363972664,0.030580436810851097,0.030580436810851097,-0.0002005962959351968,False,0.9837503124939905,1.8894690178307556,1.3728472965613085,0.02341506215843031,29.5,,
dense,8,relu,linear,0.3,1e-05,True,0.1,adamw,0.0003,256,huber,1.0,32.0,linear,,,,,[32],7600,14,0.001212612260133028,0.0012120561441406608,0.0012120561441406608,-0.00045860990413065724,False,0.9855195092402069,1.3831149640429514,1.509944222209702,0.007846273451966868,24.3,,
dense,8,swish,sigmoid,0.1,0.0,True,0.02,adamw,0.001,512,huber,5.0,256.0,funnel,,,,,"[64, 32, 8, 8, 8]",19616,13,0.0011994021479040384,0.0011989088961854577,0.0011989088961854577,-0.0004112479867096143,False,0.982779177323513,2.0569402029356714,1.4028959377993127,0.009209865786336202,25.0,,
