rank,lstm_units,n_lstm_layers,dense_units,dropout,recurrent_dropout,learning_rate,batch_size,optimizer,val_acc,test_acc,val_test_gap
1,64,2,32,0.15,0.0,0.001,256,adam,0.974327564239502,0.972308337688446,-0.002019226551055908
2,64,2,16,0.15,0.0,0.002,1024,adam,0.9712987542152405,0.9471406936645508,-0.024158060550689697
3,32,2,16,0.2,0.0,0.002,256,adam,0.9681690335273743,0.9689767360687256,0.0008077025413513184
4,64,2,32,0.15,0.0,0.002,1024,adam,0.9609287977218628,0.9261412024497986,-0.03478759527206421
5,64,2,32,0.3,0.0,0.002,1024,adam,0.9577269554138184,0.9534434080123901,-0.004283547401428223
