trial,latent_dim,conv_filters,dense_units,lr,num_layers,best_val_acc,best_val_recon_loss,best_val_loss,epochs_run
1,8,"(16, 32, 64)",16,0.01,2,0.9933655261993408,0.0006030276417732239,0.03390146791934967,17
2,8,"(16, 32, 64)",16,0.01,3,0.9923751354217529,0.0006315623177215457,0.036995772272348404,5
3,8,"(16, 32, 64)",16,0.01,4,0.9911540150642395,0.0006942221079953015,0.04379257187247276,5
4,8,"(16, 32, 64)",16,0.001,2,0.9930770397186279,0.0006030770600773394,0.035084959119558334,5
5,8,"(16, 32, 64)",16,0.001,3,0.9930674433708191,0.0006119348108768463,0.03488732501864433,5
6,8,"(16, 32, 64)",16,0.001,4,0.9933655261993408,0.0006185081438161433,0.035369981080293655,5
7,8,"(16, 32, 64)",16,0.0001,2,0.9907020926475525,0.0006556026637554169,0.043404825031757355,5
8,8,"(16, 32, 64)",16,0.0001,3,0.9904425144195557,0.0006718261865898967,0.043349672108888626,5
9,8,"(16, 32, 64)",16,0.0001,4,0.9913367033004761,0.0006588620017282665,0.0407913476228714,5
10,8,"(16, 32, 64)",32,0.01,2,0.9925386309623718,0.0006159971817396581,0.03622898459434509,5
11,8,"(16, 32, 64)",32,0.01,3,0.9913078546524048,0.0006485657650046051,0.040707509964704514,5
12,8,"(16, 32, 64)",32,0.01,4,0.9921540021896362,0.000797558983322233,0.04328126832842827,5
13,8,"(16, 32, 64)",32,0.001,2,0.9949904680252075,0.0005767782568000257,0.03014415130019188,23
14,8,"(16, 32, 64)",32,0.001,3,0.9939616322517395,0.000610422226600349,0.03390444442629814,5
15,8,"(16, 32, 64)",32,0.001,4,0.9934232234954834,0.0006165987579151988,0.03544231504201889,5
16,8,"(16, 32, 64)",32,0.0001,2,0.9910097718238831,0.0006609406555071473,0.04217619448900223,5
17,8,"(16, 32, 64)",32,0.0001,3,0.9910386204719543,0.000673362985253334,0.04199446737766266,5
18,8,"(16, 32, 64)",32,0.0001,4,0.9915674924850464,0.0006592898280359805,0.04128864407539368,5
19,8,"(16, 32, 64)",64,0.01,2,0.9930770397186279,0.0006025757757015526,0.034614138305187225,5
20,8,"(16, 32, 64)",64,0.01,3,0.9922020435333252,0.0006354651995934546,0.038411278277635574,5
21,8,"(16, 32, 64)",64,0.01,4,0.9924905300140381,0.0006703343824483454,0.03962674364447594,5
22,8,"(16, 32, 64)",64,0.001,2,0.9929328560829163,0.0005972832441329956,0.03531600162386894,5
23,8,"(16, 32, 64)",64,0.001,3,0.9934712648391724,0.0006107761291787028,0.03481077402830124,5
24,8,"(16, 32, 64)",64,0.001,4,0.9935866594314575,0.000623423489741981,0.035199686884880066,5
25,8,"(16, 32, 64)",64,0.0001,2,0.9908559322357178,0.0006647540722042322,0.04249276593327522,5
26,8,"(16, 32, 64)",64,0.0001,3,0.9912886023521423,0.0006599925691261888,0.0411391481757164,5
27,8,"(16, 32, 64)",64,0.0001,4,0.9914039969444275,0.0006589725380763412,0.04125727340579033,5
28,8,"(16, 32, 64)",128,0.01,2,0.9932405352592468,0.0006144543876871467,0.035573963075876236,5
29,8,"(16, 32, 64)",128,0.01,3,0.991625189781189,0.0006343252025544643,0.04247120022773743,5
30,8,"(16, 32, 64)",128,0.01,4,0.9931347370147705,0.000685462262481451,0.03894418850541115,5
31,8,"(16, 32, 64)",128,0.001,2,0.9932693839073181,0.00059290457284078,0.03419456630945206,5
32,8,"(16, 32, 64)",128,0.001,3,0.9929904937744141,0.0006132982089184225,0.03560713306069374,5
33,8,"(16, 32, 64)",128,0.001,4,0.9926636219024658,0.0006114033749327064,0.03538232296705246,5
34,8,"(16, 32, 64)",128,0.0001,2,0.9919617176055908,0.0006565630319528282,0.04011901840567589,5
35,8,"(16, 32, 64)",128,0.0001,3,0.9914232492446899,0.0006762544508092105,0.042441342025995255,5
36,8,"(16, 32, 64)",128,0.0001,4,0.9921732544898987,0.0006503704935312271,0.03888433799147606,5
37,8,"(32, 64, 128)",16,0.01,2,0.9926155209541321,0.0006421367870643735,0.037890657782554626,5
38,8,"(32, 64, 128)",16,0.01,3,0.9924135804176331,0.0006554607534781098,0.03963924199342728,5
39,8,"(32, 64, 128)",16,0.01,4,0.9910578727722168,0.0007178601808845997,0.04384826868772507,5
40,8,"(32, 64, 128)",16,0.001,2,0.9937500953674316,0.0005903434939682484,0.03386634215712547,5
41,8,"(32, 64, 128)",16,0.001,3,0.9941251277923584,0.0006123225321061909,0.033330004662275314,5
42,8,"(32, 64, 128)",16,0.001,4,0.994105875492096,0.0006159960757941008,0.0339633971452713,5
43,8,"(32, 64, 128)",16,0.0001,2,0.9915193915367126,0.0006508389487862587,0.04057089239358902,5
44,8,"(32, 64, 128)",16,0.0001,3,0.9909328818321228,0.0006567785167135298,0.04177788272500038,5
45,8,"(32, 64, 128)",16,0.0001,4,0.9920193552970886,0.0006431431975215673,0.03876236453652382,5
46,8,"(32, 64, 128)",32,0.01,2,0.9932116866111755,0.0006388976471498609,0.03706928715109825,5
47,8,"(32, 64, 128)",32,0.01,3,0.9919905662536621,0.0006458915886469185,0.03890962526202202,5
48,8,"(32, 64, 128)",32,0.01,4,0.9896252155303955,0.0006966902874410152,0.04609641432762146,5
49,8,"(32, 64, 128)",32,0.001,2,0.994307816028595,0.0005916288355365396,0.03209616243839264,5
50,8,"(32, 64, 128)",32,0.001,3,0.9937116503715515,0.0006226857076399028,0.03516276925802231,5
51,8,"(32, 64, 128)",32,0.001,4,0.9943270087242126,0.0006159846670925617,0.0328049473464489,5
52,8,"(32, 64, 128)",32,0.0001,2,0.9921828508377075,0.0006486557540483773,0.039541129022836685,5
53,8,"(32, 64, 128)",32,0.0001,3,0.9913751482963562,0.0006444973987527192,0.03970960155129433,5
54,8,"(32, 64, 128)",32,0.0001,4,0.991750180721283,0.000635360018350184,0.04007160663604736,5
55,8,"(32, 64, 128)",64,0.01,2,0.9923847913742065,0.0006270706653594971,0.038413155823946,5
56,8,"(32, 64, 128)",64,0.01,3,0.9933270812034607,0.0006416754913516343,0.03769582509994507,5
57,8,"(32, 64, 128)",64,0.01,4,0.991134762763977,0.000726214493624866,0.0470605231821537,5
58,8,"(32, 64, 128)",64,0.001,2,0.9935482144355774,0.0006029140786267817,0.03584248572587967,5
