lstm_units,n_lstm_layers,dense_units,dropout,recurrent_dropout,learning_rate,batch_size,optimizer,n_params,best_epoch,train_loss,train_acc,val_loss,val_acc,overfit_gap,is_overfit,composite_score,train_time_s
32,1,16,0.3,0.0,0.002,256,adamw,9761,21,0.1630803495645523,0.9376688599586487,0.16244012117385864,0.9378380179405212,-0.0001691579818725586,False,0.1123010516166687,145.1
32,1,32,0.4,0.0,0.0005,256,nadam,10817,2,0.2698340117931366,0.8837703466415405,0.2697966396808624,0.8842287659645081,-0.0004584193229675293,False,0.19278393685817719,47.3
32,2,32,0.1,0.1,0.002,256,adam,35649,16,0.07672294974327087,0.9748271703720093,0.07630433142185211,0.974904477596283,-7.730722427368164e-05,False,0.050699926912784576,4028.5
32,2,32,0.2,0.1,0.002,1024,adam,35649,11,0.12611202895641327,0.9524187445640564,0.12581096589565277,0.9524770975112915,-5.835294723510742e-05,False,0.08666693419218063,778.5
64,2,16,0.3,0.0,0.002,1024,nadam,134689,11,0.11748044937849045,0.9561206102371216,0.11792365461587906,0.9565299153327942,-0.0004093050956726074,False,0.08069686964154243,88.6
64,2,64,0.2,0.1,0.002,1024,nadam,140929,7,0.1111845150589943,0.9606446027755737,0.1122591495513916,0.9593423008918762,0.0013023018836975098,False,0.07645842432975769,582.2
32,1,16,0.3,0.0,0.0001,256,adamw,9761,10,0.16974006593227386,0.9325727820396423,0.17001873254776,0.9324871897697449,8.559226989746094e-05,False,0.11876577138900757,93.2
64,2,32,0.3,0.1,0.001,1024,adamw,136769,7,0.14781300723552704,0.9457408785820007,0.1475963294506073,0.9457705616950989,-2.968311309814453e-05,False,0.10091288387775421,578.2
32,2,16,0.4,0.0,0.0001,1024,nadam,34593,3,0.2643602192401886,0.8953375220298767,0.26519209146499634,0.8951467275619507,0.0001907944679260254,False,0.18502268195152283,36.6
128,1,32,0.3,0.0,0.002,1024,adam,141377,3,0.24271391332149506,0.8983086943626404,0.24280142784118652,0.8981899619102478,0.00011873245239257812,False,0.17230573296546936,29.3
128,1,16,0.2,0.0,0.002,512,adamw,137249,4,0.15780413150787354,0.9417794346809387,0.15747204422950745,0.9415590763092041,0.00022035837173461914,False,0.10795648396015167,42.8
128,1,32,0.2,0.0,0.001,512,adam,141377,7,0.18899765610694885,0.9241594076156616,0.18777352571487427,0.9247277975082397,-0.000568389892578125,False,0.13152286410331726,55.2
64,2,32,0.2,0.1,0.0001,256,adam,136769,10,0.17864380776882172,0.9290006756782532,0.17836104333400726,0.9272517561912537,0.0017489194869995117,False,0.1255546435713768,2914.6
64,1,32,0.4,0.2,0.0005,1024,adamw,37953,6,0.22040371596813202,0.9136931300163269,0.21995528042316437,0.9129299521446228,0.0007631778717041016,False,0.15351266413927078,251.4
32,2,32,0.1,0.2,0.0001,512,nadam,35649,24,0.2277240753173828,0.8963663578033447,0.2278447449207306,0.8970505595207214,-0.000684201717376709,False,0.16539709270000458,2304.6
64,1,64,0.3,0.0,0.0001,1024,adamw,42113,2,0.21178461611270905,0.9169527292251587,0.21237991750240326,0.9157568216323853,0.0011959075927734375,False,0.148311547935009,18.3
64,2,64,0.1,0.2,0.0001,512,adam,140929,1,0.24536988139152527,0.9011115431785583,0.24507126212120056,0.9009735584259033,0.0001379847526550293,False,0.17204885184764862,619.5
32,2,64,0.2,0.0,0.0005,256,adamw,37761,6,0.18160349130630493,0.9311785697937012,0.18381187319755554,0.9302372336387634,0.0009413361549377441,False,0.12678731977939606,133.5
128,2,16,0.2,0.1,0.0001,1024,adam,531489,18,0.16748201847076416,0.9354236721992493,0.16815561056137085,0.9359919428825378,-0.0005682706832885742,False,0.1160818338394165,1101.3
128,2,32,0.2,0.2,0.002,256,nadam,535617,1,0.13287511467933655,0.9509812593460083,0.13304254412651062,0.9515396356582642,-0.0005583763122558594,False,0.09075145423412323,1247.9
32,1,16,0.1,0.1,0.0005,1024,nadam,9761,25,0.18970923125743866,0.9246353507041931,0.18942523002624512,0.9243960380554199,0.00023931264877319336,False,0.1325145959854126,543.5
128,1,64,0.2,0.1,0.001,1024,adam,149633,7,0.17819689214229584,0.9281160831451416,0.17763479053974152,0.9279152154922485,0.0002008676528930664,False,0.12485978752374649,275.1
128,2,16,0.2,0.0,0.0005,512,adamw,531489,5,0.15429100394248962,0.9372698068618774,0.1554391235113144,0.9365832805633545,0.0006865262985229492,False,0.10942792147397995,116.9
32,2,16,0.1,0.0,0.0005,256,nadam,34593,8,0.1461305320262909,0.9443899393081665,0.14726324379444122,0.9446888566017151,-0.000298917293548584,False,0.10128719359636307,157.5
128,1,32,0.1,0.2,0.002,512,adamw,141377,11,0.10513704270124435,0.9627503752708435,0.10570304095745087,0.9624288082122803,0.0003215670585632324,False,0.0716371163725853,706.8
64,1,64,0.1,0.0,0.0001,1024,adam,42113,11,0.1612127274274826,0.9380534887313843,0.16248475015163422,0.9373620748519897,0.0006914138793945312,False,0.11256133764982224,37.5
64,1,16,0.2,0.2,0.0005,1024,adam,35873,25,0.17614060640335083,0.932418942451477,0.17564177513122559,0.9324294924736023,-1.055002212524414e-05,False,0.12160614132881165,521.9
32,2,64,0.2,0.0,0.0001,1024,nadam,37761,3,0.16767308115959167,0.9363563656806946,0.1695663183927536,0.9358476996421814,0.0005086660385131836,False,0.1168593093752861,36.6
32,1,64,0.4,0.2,0.0005,512,adamw,12929,1,0.45327046513557434,0.7312093377113342,0.4528178870677948,0.7323862314224243,-0.0011768937110900879,False,0.36021582782268524,301.6
32,2,32,0.1,0.0,0.002,1024,nadam,35649,15,0.1030556783080101,0.9633609056472778,0.10408749431371689,0.963106632232666,0.0002542734146118164,False,0.07049043104052544,83.0
128,1,64,0.2,0.2,0.001,1024,nadam,149633,19,0.11844730377197266,0.9566542506217957,0.11901914328336716,0.9564866423606873,0.00016760826110839844,False,0.08126625046133995,531.6
64,1,16,0.2,0.1,0.001,512,adam,35873,16,0.14661122858524323,0.9456591606140137,0.14662940800189972,0.9446744322776794,0.0009847283363342285,False,0.10097748786211014,912.1
