lstm_units,n_lstm_layers,dense_units,dropout,learning_rate,batch_size,optimizer,n_params,best_epoch,train_loss,train_acc,val_loss,val_acc,overfit_gap,is_overfit,composite_score,train_time_s
32,2,32,0.1,0.001,256,adam,35649,20,0.0859485268592834,0.9713224172592164,0.0858614966273307,0.9709237813949584,0.0003986358642578,False,0.0574688576161861,304.0
32,2,32,0.1,0.001,256,adamw,35649,61,0.0783430188894271,0.9741108417510986,0.0782918408513069,0.9738515615463256,0.0002592802047729,False,0.0522201396524906,794.8
32,2,32,0.1,0.001,512,adam,35649,35,0.0965493097901344,0.9667695760726928,0.0964994058012962,0.9665536880493164,0.0002158880233764,False,0.0649728588759899,272.5
32,2,32,0.1,0.001,512,adamw,35649,25,0.0948546901345253,0.9672551155090332,0.0945384800434112,0.9668853878974916,0.0003697276115417,False,0.0638265460729599,214.2
32,2,32,0.1,0.002,256,adam,35649,23,0.0699279755353927,0.9774184823036194,0.0710388794541359,0.9767072796821594,0.0007112026214599,False,0.0471657998859882,339.4
32,2,32,0.1,0.002,256,adamw,35649,37,0.0672900155186653,0.9777454137802124,0.0685698613524437,0.977716863155365,2.855062484741211e-05,False,0.0454264990985393,522.3
32,2,32,0.1,0.002,512,adam,35649,35,0.075147345662117,0.975418508052826,0.0755481198430061,0.975438117980957,-1.960992813110352e-05,False,0.0500550009310245,288.7
32,2,32,0.1,0.002,512,adamw,35649,33,0.0727163776755333,0.9761444330215454,0.0729777365922927,0.9760149717330932,0.0001294612884521,False,0.0484813824295997,272.9
32,2,32,0.2,0.001,256,adam,35649,21,0.0965812504291534,0.9665243625640868,0.0961798727512359,0.9665104150772096,1.3947486877441406e-05,False,0.0648347288370132,327.3
32,2,32,0.2,0.001,256,adamw,35649,19,0.1054684147238731,0.9616253972053528,0.1061768233776092,0.9611884355545044,0.0004369616508483,False,0.0724941939115524,309.6
32,2,32,0.2,0.001,512,adam,35649,22,0.1184916943311691,0.9569283127784728,0.1184639111161232,0.95720773935318,-0.000279426574707,False,0.0806280858814716,193.8
32,2,32,0.2,0.001,512,adamw,35649,25,0.1032739356160163,0.963639795780182,0.1041407585144043,0.9634960889816284,0.0001437067985534,False,0.0703223347663879,214.2
