trial,latent_dim,conv_filters,resolved_filters,dense_units,lr,num_layers,best_val_binary_acc,best_val_recon_loss,best_val_loss,epochs_run
44,16,"(32, 64, 128)","(32, 64, 128)",16,0.0001,3,0.9260701537132263,0.0004142465186305344,0.5889815092086792,139
45,16,"(32, 64, 128)","(32, 64, 128, 256)",16,0.0001,4,0.9363533854484558,0.00040558670298196375,0.552140474319458,107
46,16,"(32, 64, 128)","(32, 64)",32,0.01,2,0.9265605211257935,0.0004476041649468243,0.6211713552474976,30
47,16,"(32, 64, 128)","(32, 64, 128)",32,0.01,3,0.8966626524925232,0.0005090241320431232,0.7326329350471497,22
48,16,"(32, 64, 128)","(32, 64, 128, 256)",32,0.01,4,0.9040758013725281,0.00053749093785882,0.7478718161582947,31
49,16,"(32, 64, 128)","(32, 64)",32,0.001,2,0.9340457916259766,0.0004085705440957099,0.5598652958869934,34
50,16,"(32, 64, 128)","(32, 64, 128)",32,0.001,3,0.939151406288147,0.00040201685624197125,0.5421565175056458,35
51,16,"(32, 64, 128)","(32, 64, 128, 256)",32,0.001,4,0.9407378435134888,0.000402443838538602,0.54022616147995,27
52,16,"(32, 64, 128)","(32, 64)",32,0.0001,2,0.9284065961837769,0.00041212246287614107,0.5734245777130127,200
53,16,"(32, 64, 128)","(32, 64, 128)",32,0.0001,3,0.9340890645980835,0.0004163375124335289,0.569568395614624,130
54,16,"(32, 64, 128)","(32, 64, 128, 256)",32,0.0001,4,0.9320554733276367,0.000411490211263299,0.5645407438278198,89
55,16,"(32, 64, 128)","(32, 64)",64,0.01,2,0.9203876852989197,0.00043880543671548367,0.618857204914093,22
56,16,"(32, 64, 128)","(32, 64, 128)",64,0.01,3,0.9219164848327637,0.00047088440624065697,0.6495590209960938,47
57,16,"(32, 64, 128)","(32, 64, 128, 256)",64,0.01,4,0.7879456281661987,0.0014515994116663933,1.8604810237884521,7
58,16,"(32, 64, 128)","(32, 64)",64,0.001,2,0.9352573156356812,0.00040785022429190576,0.5562387704849243,31
59,16,"(32, 64, 128)","(32, 64, 128)",64,0.001,3,0.94010329246521,0.0004041802021674812,0.5403733849525452,37
60,16,"(32, 64, 128)","(32, 64, 128, 256)",64,0.001,4,0.9413580298423767,0.00040573326987214386,0.5378808975219727,24
61,16,"(32, 64, 128)","(32, 64)",64,0.0001,2,0.9255653619766235,0.00041719971341080964,0.584318995475769,126
62,16,"(32, 64, 128)","(32, 64, 128)",64,0.0001,3,0.931709349155426,0.00041452969890087843,0.5687443614006042,120
63,16,"(32, 64, 128)","(32, 64, 128, 256)",64,0.0001,4,0.939151406288147,0.000407279992941767,0.5481829047203064,101
64,16,"(32, 64, 128)","(32, 64)",128,0.01,2,0.9065564870834351,0.0004475753812585026,0.6510759592056274,23
65,16,"(32, 64, 128)","(32, 64, 128)",128,0.01,3,0.9173012375831604,0.0004859454929828644,0.6648678779602051,21
