model_type,latent_dim,activation,output_activation,dropout,l2_reg,batch_norm,noise_std,optimizer,learning_rate,batch_size,loss,n_conv_layers,kernel_size,n_filters_start,filter_strategy,n_layers,start_width,width_strategy,filters,spatial,skips,n_params,best_epoch,train_loss,val_loss,best_val_loss,overfit_gap,is_overfit,val_strict_acc,val_primary_acc,val_secondary_acc,composite_score,train_time_s,widths
dense,8,relu,linear,0.3,0.0001,True,0.05,adam,0.001,256,mse,,,,,4.0,64.0,funnel,,,,96624,25,0.0005941525450907648,0.0005926339654251933,0.0005926339654251933,-0.00255587504946136,False,0.29759432329525787,0.5316141686858198,0.5651898003922926,0.3514991553350837,26.3,"[256, 64, 32, 32]"
unet,16,swish,linear,0.0,0.0,True,0.0,adam,0.0003,1024,mse,2.0,5.0,16.0,double,,,,"[16, 32]",26.0,True,33217,1,0.0020200505387037992,0.0020200167782604694,0.0020200167782604694,-1.6712672620296952e-05,False,0.48231798776970114,0.6705607476635514,0.717433944848275,0.25985101450427966,7.7,
cnn,16,elu,linear,0.2,0.0001,False,0.05,nadam,0.0001,256,mse,2.0,3.0,64.0,double,,,,"[64, 128]",26.0,,159633,24,0.0003355356748215854,0.000335397373419255,0.000335397373419255,-0.0004121809175848072,False,0.5805930541133033,0.7083766008999653,0.8158243913695628,0.20987117163005797,19.5,
cnn,16,elu,linear,0.1,0.0001,True,0.1,adamw,0.0001,256,huber,3.0,5.0,16.0,double,,,,"[16, 32, 64]",13.0,,54033,25,0.0001388393429806456,0.0001386515941703692,0.0001386515941703692,-0.001352273831363215,False,0.49431752624899045,0.7163666782046845,0.6970116533979462,0.25291056267258993,25.1,
cnn,8,leaky_relu,linear,0.3,0.0001,True,0.0,adam,0.0001,1024,mae,2.0,5.0,64.0,double,,,,"[64, 128]",26.0,,140425,25,0.010864315554499626,0.010846639052033424,0.010846639052033424,-0.001627024029036121,False,0.5658820814584055,0.717433944848275,0.7982866043613707,0.22248227879681398,15.2,
cnn,8,relu,linear,0.2,0.0,True,0.02,nadam,0.0003,1024,mae,3.0,7.0,32.0,double,,,,"[32, 64, 128]",13.0,,173705,5,0.040422435849905014,0.0404309406876564,0.0404309406876564,0.00021039894238359053,False,0.24010614976347064,0.49007730471904926,0.48733702549901925,0.40016239546209287,14.0,
dense,8,elu,linear,0.0,0.0,True,0.1,nadam,0.0003,512,mae,,,,,1.0,256.0,geometric,,,,60016,24,0.010133958421647549,0.010120498016476631,0.010120498016476631,-0.0013282475229190016,False,0.40316718587746625,0.6072458751586477,0.6512057228568132,0.3034766560695052,11.3,[256]
cnn,8,elu,linear,0.2,1e-05,False,0.02,adam,0.0003,512,mse,3.0,3.0,32.0,constant,,,,"[32, 32, 32]",13.0,,19721,19,0.00030418497044593096,0.00030381110263988376,0.00030381110263988376,-0.001229080468700068,False,0.41415714780200763,0.6559074650974962,0.6478308526595131,0.2930733316503161,15.7,
unet,32,leaky_relu,linear,0.0,1e-05,False,0.05,adam,0.0001,1024,mse,3.0,7.0,32.0,constant,,,,"[32, 32, 32]",13.0,True,63745,25,1.455703386454843e-05,1.4556891983374953e-05,1.4556891983374953e-05,-9.746571643424426e-06,False,0.549555786315911,0.727298950040383,0.7631244952117227,0.2252293852880362,12.5,
unet,4,swish,linear,0.2,0.0,True,0.0,nadam,0.0003,512,mse,2.0,7.0,32.0,constant,,,,"[32, 32]",26.0,True,23109,2,2.9158371035009623e-05,2.9135904696886428e-05,2.9135904696886428e-05,-0.0007704935950029645,False,0.34014076381677627,0.5741029191184954,0.5919580016153225,0.3299441860439603,9.9,
unet,4,leaky_relu,linear,0.3,1e-05,True,0.05,nadam,0.0003,256,mse,3.0,7.0,64.0,double,,,,"[64, 128, 256]",13.0,True,666053,25,9.8867049018736e-06,9.88672036328353e-06,9.88672036328353e-06,1.5638587460226243e-06,False,0.31221876081689165,0.6052844121379947,0.5179127725856698,0.34389556295173584,37.3,
unet,16,swish,linear,0.2,1e-05,False,0.1,nadam,0.001,512,mse,3.0,7.0,16.0,constant,,,,"[16, 16, 16]",13.0,True,16257,25,8.41839167819991e-11,8.418379882080274e-11,8.418379882080274e-11,-1.1796119636642288e-08,False,0.24010614976347064,0.49007730471904926,0.48733702549901925,0.37994692516035655,16.3,
unet,8,relu,linear,0.2,0.0,False,0.05,adam,0.0003,256,mae,2.0,3.0,32.0,double,,,,"[32, 64]",26.0,True,41001,20,1.048092485689267e-06,1.0477705245648394e-06,1.0477705245648394e-06,-0.00030718770416131953,False,0.2626918195454021,0.5099803853697935,0.5126629745009808,0.36865461411256123,18.8,
cnn,32,elu,linear,0.3,1e-05,False,0.02,nadam,0.0001,256,mse,2.0,3.0,64.0,constant,,,,"[64, 64]",26.0,,133345,25,0.00013212829071562737,0.00013199627574067563,0.00013199627574067563,-0.0009991423807628966,False,0.6289085035190954,0.7491634937117804,0.8314584054459444,0.18561174637832262,18.5,
dense,8,relu,linear,0.1,1e-05,True,0.1,nadam,0.003,1024,mse,,,,,2.0,256.0,linear,,,,64528,25,0.0005310322158038616,0.0005301389028318226,0.0005301389028318226,-0.0016822199208511527,False,0.30209415022499136,0.5375274027922003,0.5667474327910464,0.3492179943389202,13.8,"[256, 16]"
cnn,8,leaky_relu,linear,0.1,1e-05,True,0.0,nadam,0.001,256,mse,3.0,5.0,64.0,double,,,,"[64, 128, 256]",13.0,,470025,25,9.565270011080429e-05,9.535303252050653e-05,9.535303252050653e-05,-0.003132871209601224,False,0.5445367485865928,0.7437406253605631,0.7628937348563517,0.22777930222296383,32.6,
dense,8,elu,linear,0.1,0.0001,False,0.0,adamw,0.003,512,huber,,,,,4.0,256.0,geometric,,,,140848,25,0.0011324603110551834,0.0011297750752419233,0.0011297750752419233,-0.002371152248821928,False,0.33564093688704283,0.5727472020306912,0.5892754124841352,0.3327444190940996,15.7,"[256, 128, 64, 32]"
dense,32,swish,linear,0.3,1e-05,False,0.05,adamw,0.003,512,huber,,,,,5.0,64.0,linear,,,,50952,24,0.001828881911933422,0.0018288070568814874,0.0018288070568814874,-4.0929406894065276e-05,False,0.24010614976347064,0.49007730471904926,0.48733702549901925,0.3808613286467054,14.0,"[64, 64, 64, 64, 64]"
dense,16,swish,linear,0.0,1e-05,True,0.1,nadam,0.0003,512,mae,,,,,5.0,32.0,linear,,,,17592,25,0.012444359250366688,0.012446883134543896,0.012446883134543896,0.000202813509834472,False,0.37772585669781933,0.6284181377639322,0.6069285796700127,0.3173605132183623,17.0,"[32, 32, 32, 32, 32]"
unet,4,relu,linear,0.1,1e-05,False,0.0,adamw,0.003,512,mae,3.0,5.0,32.0,constant,,,,"[32, 32, 32]",13.0,True,29989,25,1.8949569948745193e-06,1.895118430184084e-06,1.895118430184084e-06,8.519207032209441e-05,False,0.24010614976347064,0.49007730471904926,0.48733702549901925,0.37994787267747976,16.7,
cnn,32,leaky_relu,linear,0.3,0.0,False,0.05,adam,0.0001,1024,mae,2.0,3.0,16.0,double,,,,"[16, 32]",26.0,,57345,25,0.006672237534075975,0.006657791323959827,0.006657791323959827,-0.002165122276053474,False,0.6095246336679359,0.7360678435444791,0.8241029191184954,0.19856657882801199,10.8,
unet,8,elu,linear,0.3,0.0001,False,0.02,adamw,0.001,512,mae,2.0,3.0,32.0,double,,,,"[32, 64]",26.0,True,41001,24,1.399923689859861e-06,1.399922098244133e-06,1.399922098244133e-06,-1.1369303481548718e-06,False,0.24010614976347064,0.49007730471904926,0.48733702549901925,0.3799476250793138,13.5,
unet,4,leaky_relu,linear,0.3,0.0001,False,0.0,nadam,0.0003,256,huber,3.0,7.0,64.0,double,,,,"[64, 128, 256]",13.0,True,662725,22,0.0,0.0,0.0,0.0,False,0.24010614976347064,0.49007730471904926,0.48733702549901925,0.37994692511826467,29.1,
