model_type,latent_dim,activation,output_activation,dropout,l2_reg,batch_norm,noise_std,optimizer,learning_rate,batch_size,loss,n_conv_layers,kernel_size,n_filters_start,filter_strategy,n_layers,start_width,width_strategy,filters,spatial,skips,n_params,best_epoch,train_loss,val_loss,best_val_loss,overfit_gap,is_overfit,val_strict_acc,val_primary_acc,val_secondary_acc,composite_score,train_time_s,widths
dense,8,elu,linear,0.1,0.0,True,0.05,adam,0.001,1024,mae,,,,,4.0,32.0,funnel,,,,41776,25,0.009821811690926552,0.009801588021218777,0.009801588021218777,-0.002059056958550515,False,0.3696203992154148,0.6206299757701627,0.6051113418714665,0.320090594402902,13.8,"[128, 32, 32, 32]"
unet,16,relu,linear,0.2,0.0001,True,0.05,adamw,0.0001,256,mae,3.0,3.0,16.0,double,,,,"[16, 32, 64]",13.0,True,45505,25,7.523121894337237e-05,7.523386739194393e-05,7.523386739194393e-05,3.520411617358337e-05,False,0.3413811007268951,0.6024575977847005,0.5602572977962386,0.3293470665702484,24.8,
dense,8,swish,linear,0.3,1e-05,False,0.05,adamw,0.001,1024,huber,,,,,1.0,32.0,geometric,,,,7344,25,0.0003028767241630703,0.0003025591722689569,0.0003025591722689569,-0.0010484526171197293,False,0.32542979116187837,0.5820929964232144,0.5588150455751701,0.33743638400519527,7.3,[32]
dense,4,relu,linear,0.3,0.0001,True,0.1,nadam,0.003,512,mse,,,,,2.0,32.0,linear,,,,7740,12,0.0013938508927822113,0.0013919802149757743,0.0013919802149757743,-0.0013420932010188183,False,0.29681550709588095,0.5455463251413407,0.5491231106495904,0.35228823655954744,11.2,"[32, 8]"
cnn,4,leaky_relu,linear,0.2,0.0,False,0.1,nadam,0.0001,256,mae,3.0,3.0,16.0,constant,,,,"[16, 16, 16]",13.0,,5125,24,0.010164433158934116,0.01015028078109026,0.01015028078109026,-0.0013923430478184075,False,0.3573324102919119,0.6188127379716165,0.5884965962847583,0.3264089352445892,18.8,
cnn,16,relu,linear,0.3,0.0001,True,0.02,adam,0.003,1024,huber,2.0,7.0,64.0,constant,,,,"[64, 64]",26.0,,114129,25,0.001887950231321156,0.0018878987757489085,0.0018878987757489085,-2.725472917339428e-05,False,0.24010614976347064,0.49007730471904926,0.48733702549901925,0.3808908745061391,13.8,
dense,32,relu,linear,0.0,1e-05,False,0.05,nadam,0.003,1024,mse,,,,,4.0,128.0,geometric,,,,64264,25,0.00043796090176329017,0.0004374375566840172,0.0004374375566840172,-0.001194958447582711,False,0.3489961924541364,0.5828141225337488,0.594813661013038,0.3257206225512738,10.7,"[128, 64, 64, 64]"
cnn,4,leaky_relu,linear,0.3,0.0001,True,0.0,adamw,0.0001,256,mse,3.0,7.0,16.0,constant,,,,"[16, 16, 16]",13.0,,9669,25,0.002619483508169651,0.002618818311020732,0.002618818311020732,-0.0002539421022672932,False,0.3019787700473059,0.5691127264335987,0.5329987308180455,0.3503200241318574,21.6,
cnn,16,elu,linear,0.1,0.0,False,0.02,adamw,0.001,1024,huber,2.0,3.0,16.0,double,,,,"[16, 32]",26.0,,30705,25,3.6542955058394e-05,3.650323560577817e-05,3.650323560577817e-05,-0.0010869250325365703,False,0.5734106380523826,0.702867197415484,0.8130552671051113,0.2133129325916116,9.4,
cnn,8,elu,linear,0.0,0.0,True,0.1,nadam,0.003,1024,huber,3.0,7.0,32.0,double,,,,"[32, 64, 128]",13.0,,173705,24,9.091126412386075e-05,9.057811985258013e-05,9.057811985258013e-05,-0.003664499382900769,False,0.39465789777316257,0.6051978770047306,0.6545805930541133,0.30271634017334503,15.8,
cnn,4,swish,linear,0.2,1e-05,False,0.05,nadam,0.0001,512,mse,3.0,3.0,16.0,constant,,,,"[16, 16, 16]",13.0,,5125,25,0.0010721348226070404,0.001073787803761661,0.001073787803761661,0.0015417661284438098,False,0.31060343832929505,0.575949001961463,0.5363447559709242,0.3452351747372333,14.9,
cnn,4,relu,linear,0.3,0.0001,False,0.1,nadam,0.0003,512,huber,3.0,7.0,16.0,double,,,,"[16, 32, 64]",13.0,,43717,24,0.0005401530652306974,0.00053994613699615,0.00053994613699615,-0.0003830918453808984,False,0.31377639321564554,0.5691704165224415,0.5523826006692051,0.3433817764606753,16.1,
cnn,4,leaky_relu,linear,0.1,0.0,False,0.1,adamw,0.0003,512,mse,3.0,5.0,32.0,constant,,,,"[32, 32, 32]",13.0,,24709,24,0.00020140846027061343,0.00020097775268368423,0.00020097775268368423,-0.0021384781272370643,False,0.31371870312680283,0.578371985692858,0.5368351217260875,0.3432411373129404,14.6,
unet,4,leaky_relu,linear,0.2,0.0,True,0.05,adamw,0.0003,512,mae,2.0,5.0,32.0,constant,,,,"[32, 32]",26.0,True,18821,25,1.6066573152784258e-05,1.6071804566308856e-05,1.6071804566308856e-05,0.0003256085460695335,False,0.2893734856351679,0.5565074420214607,0.5084227529710396,0.3553212930846992,14.2,
dense,4,leaky_relu,linear,0.2,0.0,False,0.1,nadam,0.001,256,mse,,,,,3.0,64.0,geometric,,,,18892,17,0.0003770059847738594,0.0003762549313250929,0.0003762549313250929,-0.001992152589346762,False,0.30044998269297335,0.5298257759316949,0.5685935156340141,0.34996313611917584,15.4,"[64, 32, 16]"
cnn,32,elu,linear,0.1,0.0,False,0.05,adam,0.0001,1024,mse,2.0,7.0,32.0,double,,,,"[32, 64]",26.0,,137441,25,0.00014067516895011067,0.00014045671559870243,0.00014045671559870243,-0.001552892049383043,False,0.6087169724241376,0.7309622706818969,0.8251124956732433,0.19571174214573056,11.1,
dense,8,elu,linear,0.0,1e-05,True,0.02,adamw,0.001,1024,mse,,,,,2.0,64.0,linear,,,,16528,25,0.0007383392076008022,0.0007380168535746634,0.0007380168535746634,-0.00043659340154270885,False,0.359380408445829,0.6106495904003693,0.5883812161070728,0.32067880420387285,9.5,"[64, 16]"
cnn,8,leaky_relu,linear,0.3,1e-05,True,0.1,adam,0.0003,1024,mae,3.0,3.0,64.0,constant,,,,"[64, 64, 64]",13.0,,65289,25,0.012089262716472149,0.012065453454852104,0.012065453454852104,-0.001969455224726281,False,0.38061036113995617,0.6203126802815276,0.6164474443290643,0.31572754615744797,17.0,
