model_type,latent_dim,activation,output_activation,dropout,l2_reg,batch_norm,noise_std,optimizer,learning_rate,batch_size,loss,n_layers,start_width,width_strategy,n_conv_layers,kernel_size,n_filters_start,filter_strategy,widths,n_params,best_epoch,best_val_loss,test_loss,clf_accuracy,photon_err_pct,neutron_err_pct,composite_score,train_time_s,filters,spatial
dense,32,elu,linear,0.1,0.0001,False,0.02,adamw,0.001,256,mse,5.0,128.0,funnel,,,,,"[256, 64, 64, 64, 32]",109640,6,0.0033335902262479067,0.0033285554964095354,0.9835676236995442,1.952516993399665,1.3484327755554304,0.009882983263351852,26.0,,
dense,32,leaky_relu,sigmoid,0.1,0.0001,False,0.0,nadam,0.0003,512,mse,5.0,64.0,funnel,,,,,"[256, 64, 64, 32, 32]",103432,25,0.003933518193662167,0.0039175208657979965,0.9727697544277994,4.007486947098808,1.4986759817454505,0.015581881882931359,26.7,,
cnn,4,leaky_relu,linear,0.2,0.0,False,0.1,adamw,0.0001,256,mse,,,,2.0,7.0,32.0,double,,44229,17,0.0022979280911386013,0.002295722020789981,0.987202169189054,1.4678356812136735,1.100531485341897,0.007547879451042294,39.9,"[32, 64]",26.0
cnn,32,swish,sigmoid,0.0,0.0,False,0.0,adamw,0.0003,512,mae,,,,2.0,5.0,32.0,double,,129121,25,0.021814562380313873,0.02180582471191883,0.9906636410838253,0.945719633533642,0.9221176779912483,0.015575460648244277,24.6,"[32, 64]",26.0
cnn,4,elu,sigmoid,0.2,0.001,False,0.02,adam,0.0003,512,mae,,,,2.0,7.0,32.0,constant,,22373,25,0.030727094039320946,0.0307044368237257,0.9858752716293917,1.6451581125012313,1.1906774090559094,0.02242591120496462,27.1,"[32, 32]",26.0
dense,8,elu,sigmoid,0.3,0.0,True,0.02,adam,0.003,512,mse,2.0,64.0,geometric,,,,,"[64, 32]",18992,25,0.0021893868688493967,0.002186905825510621,0.9865675660083459,1.5564968968574524,1.1399703269667776,0.007810910430251727,22.0,,
dense,16,leaky_relu,linear,0.0,0.0001,True,0.1,nadam,0.001,256,mae,3.0,64.0,funnel,,,,,"[256, 128, 16]",127512,25,0.029582396149635315,0.029479995369911194,0.987202169189054,1.2373165205398484,1.3202621743948015,0.02119011348029065,41.2,,
cnn,2,relu,linear,0.2,0.0001,True,0.0,adamw,0.0003,512,mae,,,,3.0,3.0,64.0,double,,265987,25,0.048551734536886215,0.04852568358182907,0.48801946116420836,0.0,100.0,0.28026613668633893,48.3,"[64, 128, 256]",13.0
cnn,16,relu,linear,0.2,0.0,True,0.05,nadam,0.003,512,mse,,,,3.0,7.0,16.0,double,,64337,22,0.002215468790382147,0.0022133069578558207,0.9858945020288071,1.7082060880701406,1.1268240464251507,0.008160483380787509,35.4,"[16, 32, 64]",13.0
cnn,16,elu,linear,0.3,0.0,True,0.05,adam,0.003,1024,huber,,,,3.0,5.0,32.0,constant,,35345,25,0.0008734343573451042,0.0008736218442209065,0.9890771331320551,1.1585065510787114,1.0291659624016376,0.005898150612644981,25.5,"[32, 32, 32]",13.0
